temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,photon_energy_keV,rosseland_multigroup_cm2_g,planck_multigroup_cm2_g
0.001,0.0002257,0.0002257,false,0.01064,133490,1005000
0.001,0.0002257,0.0002257,false,0.01578,805890,842440
0.001,0.0002257,0.0002257,false,0.023403,294610,300980
0.001,0.0002257,0.0002257,false,0.034709,99588,100560
0.001,0.0002257,0.0002257,false,0.051475,32766,32943
0.001,0.0002257,0.0002257,false,0.076341,10179,10199
0.001,0.0002257,0.0002257,false,0.11322,3030.2,3033.1
0.001,0.0002257,0.0002257,false,0.16791,903.22,903.64
0.001,0.0002257,0.0002257,false,0.24902,260.32,260.22
0.001,0.0002257,0.0002257,false,0.36932,71.95,71.797
0.001,0.0002257,0.0002257,false,0.54772,19.908,19.75
0.001,0.0002257,0.0002257,false,0.81231,5.6806,5.5213
0.001,0.0002257,0.0002257,false,1.2047,1.4926,1.3335
0.001,0.0002257,0.0002257,false,1.7867,0.53441,0.37587
0.001,0.0002257,0.0002257,false,2.6497,0.25525,0.097544
0.001,0.0002257,0.0002257,false,3.9297,0.18178,0.025306
0.001,0.0002257,0.0002257,false,5.828,0.16125,0.0065625
0.001,0.0002257,0.0002257,false,8.6433,0.15381,0.0017033
0.001,0.0002257,0.0002257,false,12.819,0.14888,0.00044187
0.001,0.0002257,0.0002257,false,19.011,0.14345,0.00011464
0.001,0.0002257,0.0002257,false,28.194,0.13644,0.000029744
0.001,0.0002257,0.0002257,false,41.814,0.12792,0.00000782
0.001,0.0002257,0.0002257,false,62.013,0.11661,0.0000020157
0.001,0.0002257,0.0002257,false,91.969,0.10311,5.2347e-7
0.001,0.0002257,0.0002257,false,136.4,0.087991,1.3802e-7
0.001,0.0002257,0.0002257,false,202.28,0.072277,3.7454e-8
0.001,0.00026561,0.00026561,false,0.001,1606,1635.7
0.001,0.00026561,0.00026561,false,0.0014831,1560.4,3887
0.001,0.00026561,0.00026561,false,0.0021995,1325,1445.1
0.001,0.00026561,0.00026561,false,0.003262,682.91,733.79
0.001,0.00026561,0.00026561,false,0.0048377,361.23,374.47
0.001,0.00026561,0.00026561,false,0.0071746,611.94,1240700
0.001,0.00026561,0.00026561,false,0.01064,154010,1011200
0.001,0.00026561,0.00026561,false,0.01578,806610,843200
0.001,0.00026561,0.00026561,false,0.023403,294860,301240
0.001,0.00026561,0.00026561,false,0.034709,99674,100650
0.001,0.00026561,0.00026561,false,0.051475,32794,32971
0.001,0.00026561,0.00026561,false,0.076341,10188,10208
0.001,0.00026561,0.00026561,false,0.11322,3032.8,3035.7
0.001,0.00026561,0.00026561,false,0.16791,904.01,904.43
0.001,0.00026561,0.00026561,false,0.24902,260.55,260.45
0.001,0.00026561,0.00026561,false,0.36932,72.013,71.86
0.001,0.00026561,0.00026561,false,0.54772,19.925,19.767
0.001,0.00026561,0.00026561,false,0.81231,5.6854,5.5261
0.001,0.00026561,0.00026561,false,1.2047,1.4937,1.3346
0.001,0.00026561,0.00026561,false,1.7867,0.53474,0.3762
0.001,0.00026561,0.00026561,false,2.6497,0.25533,0.097629
0.001,0.00026561,0.00026561,false,3.9297,0.1818,0.025328
0.001,0.00026561,0.00026561,false,5.828,0.16125,0.0065682
0.001,0.00026561,0.00026561,false,8.6433,0.15381,0.0017047
0.001,0.00026561,0.00026561,false,12.819,0.14888,0.00044224
0.001,0.00026561,0.00026561,false,19.011,0.14345,0.00011473
0.001,0.00026561,0.00026561,false,28.194,0.13644,0.000029768
0.001,0.00026561,0.00026561,false,41.814,0.12792,0.0000078268
0.001,0.00026561,0.00026561,false,62.013,0.11661,0.0000020174
0.001,0.00026561,0.00026561,false,91.969,0.10311,5.2392e-7
0.001,0.00026561,0.00026561,false,136.4,0.087991,1.3814e-7
0.001,0.00026561,0.00026561,false,202.28,0.072277,3.7486e-8
0.001,0.00031257,0.00031257,false,0.001,1719.2,1748.5
0.001,0.00031257,0.00031257,false,0.0014831,1706,3952.4
0.001,0.00031257,0.00031257,false,0.0021995,1410.2,1516.5
0.001,0.00031257,0.00031257,false,0.003262,723.17,775.43
0.001,0.00031257,0.00031257,false,0.0048377,389.35,402.44
0.001,0.00031257,0.00031257,false,0.0071746,683.08,1241800
0.001,0.00031257,0.00031257,false,0.01064,177980,1018400
0.001,0.00031257,0.00031257,false,0.01578,807450,844080
0.001,0.00031257,0.00031257,false,0.023403,295170,301550
0.001,0.00031257,0.00031257,false,0.034709,99776,100750
0.001,0.00031257,0.00031257,false,0.051475,32828,33005
0.001,0.00031257,0.00031257,false,0.076341,10198,10219
0.001,0.00031257,0.00031257,false,0.11322,3035.9,3038.8
0.001,0.00031257,0.00031257,false,0.16791,904.93,905.35
0.001,0.00031257,0.00031257,false,0.24902,260.82,260.72
0.001,0.00031257,0.00031257,false,0.36932,72.086,71.933
0.001,0.00031257,0.00031257,false,0.54772,19.945,19.787
0.001,0.00031257,0.00031257,false,0.81231,5.691,5.5317
0.001,0.00031257,0.00031257,false,1.2047,1.4951,1.336
0.001,0.00031257,0.00031257,false,1.7867,0.53512,0.37658
0.001,0.00031257,0.00031257,false,2.6497,0.25543,0.097729
0.001,0.00031257,0.00031257,false,3.9297,0.18183,0.025353
0.001,0.00031257,0.00031257,false,5.828,0.16126,0.0065748
0.001,0.00031257,0.00031257,false,8.6433,0.15381,0.0017065
0.001,0.00031257,0.00031257,false,12.819,0.14888,0.00044269
0.001,0.00031257,0.00031257,false,19.011,0.14345,0.00011485
0.001,0.00031257,0.00031257,false,28.194,0.13644,0.000029797
0.001,0.00031257,0.00031257,false,41.814,0.12792,0.0000078348
0.001,0.00031257,0.00031257,false,62.013,0.11661,0.0000020195
0.001,0.00031257,0.00031257,false,91.969,0.10311,5.2446e-7
0.001,0.00031257,0.00031257,false,136.4,0.087991,1.3828e-7
0.001,0.00031257,0.00031257,false,202.28,0.072277,3.7524e-8
0.001,0.00036784,0.00036784,false,0.001,1852.3,1881.1
0.001,0.00036784,0.00036784,false,0.0014831,1876.9,4029.3
0.001,0.00036784,0.00036784,false,0.0021995,1507.5,1600.5
0.001,0.00036784,0.00036784,false,0.003262,770.54,824.43
0.001,0.00036784,0.00036784,false,0.0048377,422.38,435.36
0.001,0.00036784,0.00036784,false,0.0071746,766.64,1243100
0.001,0.00036784,0.00036784,false,0.01064,205950,1026900
0.001,0.00036784,0.00036784,false,0.01578,808450,845120
0.001,0.00036784,0.00036784,false,0.023403,295530,301920
0.001,0.00036784,0.00036784,false,0.034709,99896,100880
0.001,0.00036784,0.00036784,false,0.051475,32867,33045
0.001,0.00036784,0.00036784,false,0.076341,10211,10231
0.001,0.00036784,0.00036784,false,0.11322,3039.6,3042.5
0.001,0.00036784,0.00036784,false,0.16791,906.02,906.44
0.001,0.00036784,0.00036784,false,0.24902,261.13,261.03
0.001,0.00036784,0.00036784,false,0.36932,72.173,72.02
0.001,0.00036784,0.00036784,false,0.54772,19.969,19.811
0.001,0.00036784,0.00036784,false,0.81231,5.6977,5.5384
0.001,0.00036784,0.00036784,false,1.2047,1.4967,1.3376
0.001,0.00036784,0.00036784,false,1.7867,0.53557,0.37704
0.001,0.00036784,0.00036784,false,2.6497,0.25555,0.097846
0.001,0.00036784,0.00036784,false,3.9297,0.18186,0.025384
0.001,0.00036784,0.00036784,false,5.828,0.16127,0.0065827
0.001,0.00036784,0.00036784,false,8.6433,0.15381,0.0017085
0.001,0.00036784,0.00036784,false,12.819,0.14888,0.00044321
0.001,0.00036784,0.00036784,false,19.011,0.14345,0.00011498
0.001,0.00036784,0.00036784,false,28.194,0.13644,0.000029831
0.001,0.00036784,0.00036784,false,41.814,0.12792,0.0000078442
0.001,0.00036784,0.00036784,false,62.013,0.11661,0.0000020219
0.001,0.00036784,0.00036784,false,91.969,0.10311,5.2508e-7
0.001,0.00036784,0.00036784,false,136.4,0.087991,1.3844e-7
0.001,0.00036784,0.00036784,false,202.28,0.072277,3.7569e-8
0.001,0.00043288,0.00043288,false,0.001,2008.7,2037.2
0.001,0.00043288,0.00043288,false,0.0014831,2077.3,4119.8
0.001,0.00043288,0.00043288,false,0.0021995,1618.2,1699.3
0.001,0.00043288,0.00043288,false,0.003262,826.25,882.1
0.001,0.00043288,0.00043288,false,0.0048377,461.2,474.1
0.001,0.00043288,0.00043288,false,0.0071746,864.79,1244600
0.001,0.00043288,0.00043288,false,0.01064,238550,1036900
0.001,0.00043288,0.00043288,false,0.01578,809620,846350
0.001,0.00043288,0.00043288,false,0.023403,295950,302350
0.001,0.00043288,0.00043288,false,0.034709,100040,101020
0.001,0.00043288,0.00043288,false,0.051475,32914,33092
0.001,0.00043288,0.00043288,false,0.076341,10225,10245
0.001,0.00043288,0.00043288,false,0.11322,3043.9,3046.8
0.001,0.00043288,0.00043288,false,0.16791,907.3,907.72
0.001,0.00043288,0.00043288,false,0.24902,261.5,261.4
0.001,0.00043288,0.00043288,false,0.36932,72.274,72.121
0.001,0.00043288,0.00043288,false,0.54772,19.997,19.839
0.001,0.00043288,0.00043288,false,0.81231,5.7055,5.5462
0.001,0.00043288,0.00043288,false,1.2047,1.4986,1.3395
0.001,0.00043288,0.00043288,false,1.7867,0.53611,0.37757
0.001,0.00043288,0.00043288,false,2.6497,0.25569,0.097984
0.001,0.00043288,0.00043288,false,3.9297,0.18189,0.02542
0.001,0.00043288,0.00043288,false,5.828,0.16127,0.006592
0.001,0.00043288,0.00043288,false,8.6433,0.15381,0.0017109
0.001,0.00043288,0.00043288,false,12.819,0.14888,0.00044383
0.001,0.00043288,0.00043288,false,19.011,0.14345,0.00011514
0.001,0.00043288,0.00043288,false,28.194,0.13644,0.000029871
0.001,0.00043288,0.00043288,false,41.814,0.12792,0.0000078553
0.001,0.00043288,0.00043288,false,62.013,0.11661,0.0000020248
0.001,0.00043288,0.00043288,false,91.969,0.10311,5.2583e-7
0.001,0.00043288,0.00043288,false,136.4,0.087991,1.3864e-7
0.001,0.00043288,0.00043288,false,202.28,0.072277,3.7622e-8
0.001,0.00050941,0.00050941,false,0.001,2180.8,2208.9
0.001,0.00050941,0.00050941,false,0.0014831,2295,4217.9
0.001,0.00050941,0.00050941,false,0.0021995,1734.3,1807.6
0.001,0.00050941,0.00050941,false,0.003262,887.41,945.42
0.001,0.00050941,0.00050941,false,0.0048377,504.04,516.87
0.001,0.00050941,0.00050941,false,0.0071746,975.32,1245800
0.001,0.00050941,0.00050941,false,0.01064,276570,1048500
0.001,0.00050941,0.00050941,false,0.01578,810850,847640
0.001,0.00050941,0.00050941,false,0.023403,296390,302810
0.001,0.00050941,0.00050941,false,0.034709,100190,101170
0.001,0.00050941,0.00050941,false,0.051475,32963,33141
0.001,0.00050941,0.00050941,false,0.076341,10240,10261
0.001,0.00050941,0.00050941,false,0.11322,3048.4,3051.3
0.001,0.00050941,0.00050941,false,0.16791,908.64,909.07
0.001,0.00050941,0.00050941,false,0.24902,261.89,261.79
0.001,0.00050941,0.00050941,false,0.36932,72.381,72.228
0.001,0.00050941,0.00050941,false,0.54772,20.027,19.868
0.001,0.00050941,0.00050941,false,0.81231,5.7137,5.5544
0.001,0.00050941,0.00050941,false,1.2047,1.5005,1.3414
0.001,0.00050941,0.00050941,false,1.7867,0.53666,0.37813
0.001,0.00050941,0.00050941,false,2.6497,0.25583,0.098128
0.001,0.00050941,0.00050941,false,3.9297,0.18193,0.025457
0.001,0.00050941,0.00050941,false,5.828,0.16128,0.0066016
0.001,0.00050941,0.00050941,false,8.6433,0.15382,0.0017134
0.001,0.00050941,0.00050941,false,12.819,0.14888,0.00044447
0.001,0.00050941,0.00050941,false,19.011,0.14345,0.0001153
0.001,0.00050941,0.00050941,false,28.194,0.13644,0.000029913
0.001,0.00050941,0.00050941,false,41.814,0.12792,0.0000078669
0.001,0.00050941,0.00050941,false,62.013,0.11661,0.0000020278
0.001,0.00050941,0.00050941,false,91.969,0.10311,5.266e-7
0.001,0.00050941,0.00050941,false,136.4,0.087991,1.3884e-7
0.001,0.00050941,0.00050941,false,202.28,0.072277,3.7678e-8
0.001,0.00059948,0.00059948,false,0.001,2276.4,2304.4
0.001,0.00059948,0.00059948,false,0.0014831,2394.9,4257.9
0.001,0.00059948,0.00059948,false,0.0021995,1788.8,1862.9
0.001,0.00059948,0.00059948,false,0.003262,920.25,979.3
0.001,0.00059948,0.00059948,false,0.0048377,529.72,542.02
0.001,0.00059948,0.00059948,false,0.0071746,1062,1242300
0.001,0.00059948,0.00059948,false,0.01064,321170,1061500
0.001,0.00059948,0.00059948,false,0.01578,810970,847760
0.001,0.00059948,0.00059948,false,0.023403,296430,302850
0.001,0.00059948,0.00059948,false,0.034709,100200,101180
0.001,0.00059948,0.00059948,false,0.051475,32967,33145
0.001,0.00059948,0.00059948,false,0.076341,10242,10262
