temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,rosseland_cm2_g,planck_cm2_g,free_electrons,avg_sq_free_electrons
0.00125,0.0035938,0.0035938,false,6680.2,260710,0.014782,0.014782
0.00125,0.0042292,0.0042292,false,7148.8,255190,0.014182,0.014182
0.00125,0.004977,0.004977,false,7699.3,248680,0.013475,0.013475
0.00125,0.005857,0.005857,false,8346.1,241030,0.012644,0.012644
0.00125,0.0068926,0.0068926,false,9105.7,232030,0.011665,0.011665
0.00125,0.0081113,0.0081113,false,9998,221430,0.010514,0.010514
0.00125,0.0095455,0.0095455,false,11046,208960,0.0091591,0.0091591
0.00125,0.011233,0.011233,false,11966,199450,0.0082156,0.0082156
0.00125,0.013219,0.013219,false,12598,195680,0.008042,0.008042
0.00125,0.015557,0.015557,false,13337,191240,0.0078377,0.0078377
0.00125,0.018307,0.018307,false,14199,186010,0.0075973,0.0075973
0.00125,0.021544,0.021544,false,15204,179850,0.0073145,0.0073145
0.00125,0.025354,0.025354,false,16375,172590,0.0069815,0.0069815
0.00125,0.029836,0.029836,false,17739,164060,0.0065898,0.0065898
0.00125,0.035112,0.035112,false,19326,154000,0.0061287,0.0061287
0.00125,0.04132,0.04132,false,21169,142180,0.0055861,0.0055861
0.00125,0.048626,0.048626,false,22139,137040,0.0053179,0.0053179
0.00125,0.057224,0.057224,false,22469,136850,0.0052504,0.0052504
0.00125,0.067342,0.067342,false,22818,136590,0.005171,0.005171
0.00125,0.079248,0.079248,false,23167,136250,0.0050775,0.0050775
0.00125,0.09326,0.09326,false,23475,135780,0.0049676,0.0049676
0.00125,0.10975,0.10975,false,23641,135200,0.0048382,0.0048382
0.00125,0.12915,0.12915,false,23304,134450,0.0046859,0.0046859
0.00125,0.15199,0.15199,false,25802,144040,0.005024,0.005024
0.00125,0.17886,0.17886,false,32146,162430,0.0058134,0.0058134
0.00125,0.21049,0.21049,false,39233,182650,0.0067425,0.0067425
0.00125,0.24771,0.24771,false,53321,220140,0.0084499,0.0084499
0.00125,0.29151,0.29151,false,80033,281820,0.011473,0.011473
0.00125,0.34305,0.34305,false,124590,370660,0.016261,0.016261
0.00125,0.4037,0.4037,false,207230,505220,0.024915,0.024915
0.00125,0.47508,0.47508,false,304500,627390,0.035636,0.035636
0.00125,0.55908,0.55908,false,407740,712360,0.048706,0.048706
0.00125,0.65793,0.65793,false,599070,834090,0.075705,0.075705
0.00125,0.77426,0.77426,false,865600,962940,0.14426,0.14426
0.00125,0.91116,0.91116,false,931560,975630,0.31047,0.31047
0.00125,1.0723,1.0723,false,798680,826280,0.4829,0.4829
0.00125,1.2619,1.2619,false,569660,582920,0.68618,0.68618
0.00125,1.485,1.485,false,373270,380810,0.85847,0.85847
0.00125,1.7475,1.7475,false,238720,243310,0.97661,0.97661
0.00125,2.0565,2.0565,false,200390,203720,0.98808,0.98808
0.00125,2.4201,2.4201,false,168290,170740,0.99956,0.99956
0.00125,2.848,2.848,false,147730,149600,0.99977,0.99977
0.00125,3.3516,3.3516,false,130250,131630,1,1
0.00125,3.9442,3.9442,false,113720,114740,1,1
0.00125,4.6416,4.6416,false,98469,99209,1,1
0.00125,5.4623,5.4623,false,85272,85819,1,1
0.00125,6.4281,6.4281,false,73871,74290,1,1
0.00125,7.5646,7.5646,false,64120,64469,1,1
0.00125,8.9022,8.9022,false,55489,55738,1,1
0.00125,10.476,10.476,false,48298,48481,1,1
0.00125,12.328,12.328,false,42167,42305,1,1
0.00125,14.508,14.508,false,36854,36957,1,1
0.00125,17.074,17.074,false,32427,32504,1,1
0.00125,20.092,20.092,false,28544,28604,1,1
0.00125,23.645,23.645,false,24866,24915,1,1
0.00125,27.826,27.826,false,21301,21339,1,1
0.00125,32.745,32.745,false,18070,18100,1,1
0.00125,38.535,38.535,false,15390,15413,1,1
0.00125,45.349,45.349,false,13160,13175,1,1
0.00125,53.367,53.367,false,11422,11433,1,1
0.00125,62.803,62.803,false,10075,10083,1,1
0.00125,73.907,73.907,false,8870.9,8877.4,1,1
0.00125,86.975,86.975,false,7884.2,7889.5,1,1
0.00125,102.35,102.35,false,6807.6,6811.6,1,1
0.00125,120.45,120.45,false,5847.5,5850.6,1,1
0.00125,141.75,141.75,false,5079.2,5081.6,1,1
0.00125,166.81,166.81,false,4297.5,4299.2,1,1
0.00125,196.3,196.3,false,3652.7,3653.9,1,1
0.00125,231.01,231.01,false,3120.5,3121.5,1,1
0.00125,271.86,271.86,false,2645.6,2646.3,1,1
0.00125,319.93,294.58,true,2437.4,2438,1,1
0.00125,376.49,294.58,true,2437.4,2438,1,1
0.00125,443.06,294.58,true,2437.4,2438,1,1
0.00125,521.4,294.58,true,2437.4,2438,1,1
0.00125,613.59,294.58,true,2437.4,2438,1,1
0.00125,722.08,294.58,true,2437.4,2438,1,1
0.00125,849.75,294.58,true,2437.4,2438,1,1
0.00125,1000,294.58,true,2437.4,2438,1,1
0.0015,0.0001,0.0001,false,5589.7,463080,0.17588,0.17588
0.0015,0.00011768,0.00011768,false,5751.3,465440,0.17179,0.17179
0.0015,0.00013849,0.00013849,false,5938.5,468220,0.16697,0.16697
0.0015,0.00016298,0.00016298,false,6155.5,471490,0.1613,0.1613
0.0015,0.00019179,0.00019179,false,6406.8,475340,0.15463,0.15463
0.0015,0.0002257,0.0002257,false,6698,479860,0.14677,0.14677
0.0015,0.00026561,0.00026561,false,7035.4,485190,0.13753,0.13753
0.0015,0.00031257,0.00031257,false,7426.5,491460,0.12666,0.12666
0.0015,0.00036784,0.00036784,false,7880.2,498840,0.11386,0.11386
0.0015,0.00043288,0.00043288,false,8406.9,507520,0.098798,0.098798
0.0015,0.00050941,0.00050941,false,8914.9,514230,0.085515,0.085515
0.0015,0.00059948,0.00059948,false,9184.5,511170,0.08373,0.08373
0.0015,0.00070548,0.00070548,false,9500.8,507560,0.08163,0.08163
0.0015,0.00083022,0.00083022,false,9871.7,503320,0.079158,0.079158
0.0015,0.00097701,0.00097701,false,10307,498330,0.07625,0.07625
0.0015,0.0011498,0.0011498,false,10817,492450,0.072827,0.072827
0.0015,0.001353,0.001353,false,11414,485540,0.068799,0.068799
0.0015,0.0015923,0.0015923,false,12115,477400,0.064059,0.064059
0.0015,0.0018738,0.0018738,false,12936,467830,0.05848,0.05848
0.0015,0.0022051,0.0022051,false,13898,456570,0.051916,0.051916
0.0015,0.002595,0.002595,false,15024,443310,0.04419,0.04419
0.0015,0.0030539,0.0030539,false,15847,438060,0.042014,0.042014
0.0015,0.0035938,0.0035938,false,16701,434240,0.041026,0.041026
0.0015,0.0042292,0.0042292,false,17703,429730,0.039864,0.039864
0.0015,0.004977,0.004977,false,18881,424430,0.038496,0.038496
0.0015,0.005857,0.005857,false,20265,418190,0.036886,0.036886
0.0015,0.0068926,0.0068926,false,21889,410840,0.034992,0.034992
0.0015,0.0081113,0.0081113,false,23798,402190,0.032762,0.032762
0.0015,0.0095455,0.0095455,false,26039,392020,0.030139,0.030139
0.0015,0.011233,0.011233,false,28672,380040,0.027051,0.027051
0.0015,0.013219,0.013219,false,31524,368360,0.024239,0.024239
0.0015,0.015557,0.015557,false,34013,362930,0.023804,0.023804
0.0015,0.018307,0.018307,false,36896,356540,0.023291,0.023291
0.0015,0.021544,0.021544,false,40228,349000,0.022689,0.022689
0.0015,0.025354,0.025354,false,44070,340090,0.021979,0.021979
0.0015,0.029836,0.029836,false,48489,329590,0.021144,0.021144
0.0015,0.035112,0.035112,false,53553,317210,0.020162,0.020162
0.0015,0.04132,0.04132,false,59319,302600,0.019006,0.019006
0.0015,0.048626,0.048626,false,64725,291630,0.018102,0.018102
